batch_index,type,priority,name,slug,source_id,route,save_folder,filename,dimensions,format,prompt,notes
53,afrostream-news,458,Black Sherif wins Artiste Of The Year at 27th TGMA,black-sherif-wins-artiste-of-the-year-at-27th-tgma-full-winners-list-fixt5q,black-sherif-wins-artiste-of-the-year-at-27th-tgma-full-winners-list-fixt5q,/tools/afrostream/news/black-sherif-wins-artiste-of-the-year-at-27th-tgma-full-winners-list-fixt5q/,/assets/img/afrostream/news/,black-sherif-wins-artiste-of-the-year-at-27th-tgma-full-winners-list-fixt5q.webp,1200x630,WebP,"Create an AfroStream news feature image for: Black Sherif wins Artiste Of The Year at 27th TGMA. Editorial African creator-economy scene, symbolic and original. Do not depict exact celebrity likenesses, exact award logos, platform logos, readable text, or fake screenshots. 1200x630 social crop, lively but credible.","Live as_news row missing image_url. After upload, set image_url to /assets/img/afrostream/news/black-sherif-wins-artiste-of-the-year-at-27th-tgma-full-winners-list-fixt5q.webp. Category=milestones."
54,afrostream-news,457,Google AICC spotlights Ghana creators building AI apps in Accra,google-aicc-flutterflow-ghana-creators-2026,google-aicc-flutterflow-ghana-creators-2026,/tools/afrostream/news/google-aicc-flutterflow-ghana-creators-2026/,/assets/img/afrostream/news/,google-aicc-flutterflow-ghana-creators-2026.webp,1200x630,WebP,"Create an AfroStream news feature image for: Google AICC spotlights Ghana creators building AI apps in Accra. Editorial African creator-economy scene, symbolic and original. Do not depict exact celebrity likenesses, exact award logos, platform logos, readable text, or fake screenshots. 1200x630 social crop, lively but credible.","Live as_news row missing image_url. After upload, set image_url to /assets/img/afrostream/news/google-aicc-flutterflow-ghana-creators-2026.webp. Category=platform."
55,afrostream-news,456,Guardian report spotlights African news creators reshaping social feeds,guardian-african-news-creators-social-feeds-2026,guardian-african-news-creators-social-feeds-2026,/tools/afrostream/news/guardian-african-news-creators-social-feeds-2026/,/assets/img/afrostream/news/,guardian-african-news-creators-social-feeds-2026.webp,1200x630,WebP,"Create an AfroStream news feature image for: Guardian report spotlights African news creators reshaping social feeds. Editorial African creator-economy scene, symbolic and original. Do not depict exact celebrity likenesses, exact award logos, platform logos, readable text, or fake screenshots. 1200x630 social crop, lively but credible.","Live as_news row missing image_url. After upload, set image_url to /assets/img/afrostream/news/guardian-african-news-creators-social-feeds-2026.webp. Category=platform."
56,afrostream-news,455,Pitcher Festival names 2026 jury leaders for Pan-African creative awards,pitcher-festival-2026-pan-african-creative-juries,pitcher-festival-2026-pan-african-creative-juries,/tools/afrostream/news/pitcher-festival-2026-pan-african-creative-juries/,/assets/img/afrostream/news/,pitcher-festival-2026-pan-african-creative-juries.webp,1200x630,WebP,"Create an AfroStream news feature image for: Pitcher Festival names 2026 jury leaders for Pan-African creative awards. Editorial African creator-economy scene, symbolic and original. Do not depict exact celebrity likenesses, exact award logos, platform logos, readable text, or fake screenshots. 1200x630 social crop, lively but credible.","Live as_news row missing image_url. After upload, set image_url to /assets/img/afrostream/news/pitcher-festival-2026-pan-african-creative-juries.webp. Category=platform."
57,afrostream-news,454,Tyla earns four American Music Awards nominations,tyla-four-american-music-awards-nominations-2026,tyla-four-american-music-awards-nominations-2026,/tools/afrostream/news/tyla-four-american-music-awards-nominations-2026/,/assets/img/afrostream/news/,tyla-four-american-music-awards-nominations-2026.webp,1200x630,WebP,"Create an AfroStream news feature image for: Tyla earns four American Music Awards nominations. Editorial African creator-economy scene, symbolic and original. Do not depict exact celebrity likenesses, exact award logos, platform logos, readable text, or fake screenshots. 1200x630 social crop, lively but credible.","Live as_news row missing image_url. After upload, set image_url to /assets/img/afrostream/news/tyla-four-american-music-awards-nominations-2026.webp. Category=milestones."
58,afrostream-news,453,Zee Nxumalo becomes Spotify EQUAL Africa ambassador for May,zee-nxumalo-spotify-equal-africa-may-2026,zee-nxumalo-spotify-equal-africa-may-2026,/tools/afrostream/news/zee-nxumalo-spotify-equal-africa-may-2026/,/assets/img/afrostream/news/,zee-nxumalo-spotify-equal-africa-may-2026.webp,1200x630,WebP,"Create an AfroStream news feature image for: Zee Nxumalo becomes Spotify EQUAL Africa ambassador for May. Editorial African creator-economy scene, symbolic and original. Do not depict exact celebrity likenesses, exact award logos, platform logos, readable text, or fake screenshots. 1200x630 social crop, lively but credible.","Live as_news row missing image_url. After upload, set image_url to /assets/img/afrostream/news/zee-nxumalo-spotify-equal-africa-may-2026.webp. Category=platform."
59,afrostream-news,452,UNESCO puts African digital creators on the World Press Freedom Day program in Lusaka,unesco-wpfd-lusaka-african-digital-creators-2026,unesco-wpfd-lusaka-african-digital-creators-2026,/tools/afrostream/news/unesco-wpfd-lusaka-african-digital-creators-2026/,/assets/img/afrostream/news/,unesco-wpfd-lusaka-african-digital-creators-2026.webp,1200x630,WebP,"Create an AfroStream news feature image for: UNESCO puts African digital creators on the World Press Freedom Day program in Lusaka. Editorial African creator-economy scene, symbolic and original. Do not depict exact celebrity likenesses, exact award logos, platform logos, readable text, or fake screenshots. 1200x630 social crop, lively but credible.","Live as_news row missing image_url. After upload, set image_url to /assets/img/afrostream/news/unesco-wpfd-lusaka-african-digital-creators-2026.webp. Category=platform."
60,afrostream-news,451,Shakira and Burna Boy collaborate on official 2026 FIFA World Cup anthem,shakira-and-burna-boy-collaborate-on-official-2026-fifa-world-cup-anthem-9opjn3,shakira-and-burna-boy-collaborate-on-official-2026-fifa-world-cup-anthem-9opjn3,/tools/afrostream/news/shakira-and-burna-boy-collaborate-on-official-2026-fifa-world-cup-anthem-9opjn3/,/assets/img/afrostream/news/,shakira-and-burna-boy-collaborate-on-official-2026-fifa-world-cup-anthem-9opjn3.webp,1200x630,WebP,"Create an AfroStream news feature image for: Shakira and Burna Boy collaborate on official 2026 FIFA World Cup anthem. Editorial African creator-economy scene, symbolic and original. Do not depict exact celebrity likenesses, exact award logos, platform logos, readable text, or fake screenshots. 1200x630 social crop, lively but credible.","Live as_news row missing image_url. After upload, set image_url to /assets/img/afrostream/news/shakira-and-burna-boy-collaborate-on-official-2026-fifa-world-cup-anthem-9opjn3.webp. Category=milestones."
61,afrostream-avatar,570,Ibn Hattuta Travels,ibn-hattuta-travels,ibn-hattuta-travels,/tools/afrostream/creator/ibn-hattuta-travels/,/assets/img/afrostream/creators/,ibn-hattuta-travels-avatar.webp,400x400,WebP,"Create an original AfroStream creator avatar for Ibn Hattuta Travels from JO. Broad public-persona resemblance only, not a copy of any specific photo and not an exact face clone. Cues: travel, arabic, jordanian, vlogging, culture. Centered head-and-shoulders, circular-crop safe, warm studio lighting, no logos, no text.","If guardrails reject the name, retry with only the country/category/tags cues and keep the same filename."
62,afrostream-avatar,560,Djalil Palermo,djalil-palermo,djalil-palermo,/tools/afrostream/creator/djalil-palermo/,/assets/img/afrostream/creators/,djalil-palermo-avatar.webp,400x400,WebP,"Create an original AfroStream creator avatar for Djalil Palermo from DZ. Broad public-persona resemblance only, not a copy of any specific photo and not an exact face clone. Cues: music, rap, trap, algerian, street. Centered head-and-shoulders, circular-crop safe, warm studio lighting, no logos, no text.","If guardrails reject the name, retry with only the country/category/tags cues and keep the same filename."
63,afrostream-avatar,560,EBS TV,ebs-tv,ebs-tv,/tools/afrostream/creator/ebs-tv/,/assets/img/afrostream/creators/,ebs-tv-avatar.webp,400x400,WebP,"Create an original AfroStream creator avatar for EBS TV from ET. Broad public-persona resemblance only, not a copy of any specific photo and not an exact face clone. Cues: entertainment, tv, ethiopian, talkshow, drama. Centered head-and-shoulders, circular-crop safe, warm studio lighting, no logos, no text.","If guardrails reject the name, retry with only the country/category/tags cues and keep the same filename."
64,afrostream-avatar,560,ElGrande Toto,elgrande-toto,elgrande-toto,/tools/afrostream/creator/elgrande-toto/,/assets/img/afrostream/creators/,elgrande-toto-avatar.webp,400x400,WebP,"Create an original AfroStream creator avatar for ElGrande Toto from MA. Broad public-persona resemblance only, not a copy of any specific photo and not an exact face clone. Cues: music, rap, moroccan, hiphop, north-african. Centered head-and-shoulders, circular-crop safe, warm studio lighting, no logos, no text.","If guardrails reject the name, retry with only the country/category/tags cues and keep the same filename."
65,afrostream-avatar,560,Fana TV,fana-tv,fana-tv,/tools/afrostream/creator/fana-tv/,/assets/img/afrostream/creators/,fana-tv-avatar.webp,400x400,WebP,"Create an original AfroStream creator avatar for Fana TV from ET. Broad public-persona resemblance only, not a copy of any specific photo and not an exact face clone. Cues: news, tv, ethiopian, media, culture. Centered head-and-shoulders, circular-crop safe, warm studio lighting, no logos, no text.","If guardrails reject the name, retry with only the country/category/tags cues and keep the same filename."
66,afrostream-avatar,560,Halle Tshungu,halle-tshungu,halle-tshungu,/tools/afrostream/creator/halle-tshungu/,/assets/img/afrostream/creators/,halle-tshungu-avatar.webp,400x400,WebP,"Create an original AfroStream creator avatar for Halle Tshungu from ZA. Broad public-persona resemblance only, not a copy of any specific photo and not an exact face clone. Cues: comedy, beauty, south-african, tiktok, lifestyle. Centered head-and-shoulders, circular-crop safe, warm studio lighting, no logos, no text.","If guardrails reject the name, retry with only the country/category/tags cues and keep the same filename."
67,afrostream-avatar,560,Kevin Richardson,kevin-richardson,kevin-richardson,/tools/afrostream/creator/kevin-richardson/,/assets/img/afrostream/creators/,kevin-richardson-avatar.webp,400x400,WebP,"Create an original AfroStream creator avatar for Kevin Richardson from ZA. Broad public-persona resemblance only, not a copy of any specific photo and not an exact face clone. Cues: wildlife, lions, conservation, south-african, nature. Centered head-and-shoulders, circular-crop safe, warm studio lighting, no logos, no text.","If guardrails reject the name, retry with only the country/category/tags cues and keep the same filename."
68,afrostream-avatar,560,Youssef Shaaban,youssef-shaaban,youssef-shaaban,/tools/afrostream/creator/youssef-shaaban/,/assets/img/afrostream/creators/,youssef-shaaban-avatar.webp,400x400,WebP,"Create an original AfroStream creator avatar for Youssef Shaaban from EG. Broad public-persona resemblance only, not a copy of any specific photo and not an exact face clone. Cues: comedy, skits, egyptian, humor, entertainment. Centered head-and-shoulders, circular-crop safe, warm studio lighting, no logos, no text.","If guardrails reject the name, retry with only the country/category/tags cues and keep the same filename."
69,afrostream-avatar,556,zerobrainer0,zerobrainer,zerobrainer,/tools/afrostream/creator/zerobrainer/,/assets/img/afrostream/creators/,zerobrainer-avatar.webp,400x400,WebP,"Create an original AfroStream creator avatar for zerobrainer0 from TZ. Broad public-persona resemblance only, not a copy of any specific photo and not an exact face clone. Cues: entertainment, variety, tanzanian, viral. Centered head-and-shoulders, circular-crop safe, warm studio lighting, no logos, no text.","If guardrails reject the name, retry with only the country/category/tags cues and keep the same filename."
70,afrostream-avatar,552,Eddy Kenzo,eddy-kenzo,eddy-kenzo,/tools/afrostream/creator/eddy-kenzo/,/assets/img/afrostream/creators/,eddy-kenzo-avatar.webp,400x400,WebP,"Create an original AfroStream creator avatar for Eddy Kenzo from UG. Broad public-persona resemblance only, not a copy of any specific photo and not an exact face clone. Cues: music, afrobeat, ugandan, bet-award. Centered head-and-shoulders, circular-crop safe, warm studio lighting, no logos, no text.","If guardrails reject the name, retry with only the country/category/tags cues and keep the same filename."
71,afrostream-avatar,550,Tyla,tyla,tyla,/tools/afrostream/creator/tyla/,/assets/img/afrostream/creators/,tyla-avatar.webp,400x400,WebP,"Create an original AfroStream creator avatar for Tyla from ZA. Broad public-persona resemblance only, not a copy of any specific photo and not an exact face clone. Cues: music, amapiano, pop, south-african, grammy, water. Centered head-and-shoulders, circular-crop safe, warm studio lighting, no logos, no text.","If guardrails reject the name, retry with only the country/category/tags cues and keep the same filename."
72,afrostream-avatar,550,Yassine Jarram,yassine-jarram,yassine-jarram,/tools/afrostream/creator/yassine-jarram/,/assets/img/afrostream/creators/,yassine-jarram-avatar.webp,400x400,WebP,"Create an original AfroStream creator avatar for Yassine Jarram from MA. Broad public-persona resemblance only, not a copy of any specific photo and not an exact face clone. Cues: comedy, entertainment, moroccan, commentary, viral. Centered head-and-shoulders, circular-crop safe, warm studio lighting, no logos, no text.","If guardrails reject the name, retry with only the country/category/tags cues and keep the same filename."
73,afrostream-avatar,545,Angella Summer Namubiru,angella-summer,angella-summer,/tools/afrostream/creator/angella-summer/,/assets/img/afrostream/creators/,angella-summer-avatar.webp,400x400,WebP,"Create an original AfroStream creator avatar for Angella Summer Namubiru from UG. Broad public-persona resemblance only, not a copy of any specific photo and not an exact face clone. Cues: beauty, lifestyle, ugandan, hair, tutorials. Centered head-and-shoulders, circular-crop safe, warm studio lighting, no logos, no text.","If guardrails reject the name, retry with only the country/category/tags cues and keep the same filename."
74,afrostream-avatar,545,Alikiba,alikiba,alikiba,/tools/afrostream/creator/alikiba/,/assets/img/afrostream/creators/,alikiba-avatar.webp,400x400,WebP,"Create an original AfroStream creator avatar for Alikiba from TZ. Broad public-persona resemblance only, not a copy of any specific photo and not an exact face clone. Cues: music, bongo-flava, tanzanian, rnb. Centered head-and-shoulders, circular-crop safe, warm studio lighting, no logos, no text.","If guardrails reject the name, retry with only the country/category/tags cues and keep the same filename."
75,afrostream-avatar,542,Marioo,marioo,marioo,/tools/afrostream/creator/marioo/,/assets/img/afrostream/creators/,marioo-avatar.webp,400x400,WebP,"Create an original AfroStream creator avatar for Marioo from TZ. Broad public-persona resemblance only, not a copy of any specific photo and not an exact face clone. Cues: music, bongo-flava, tanzanian, singer. Centered head-and-shoulders, circular-crop safe, warm studio lighting, no logos, no text.","If guardrails reject the name, retry with only the country/category/tags cues and keep the same filename."
76,car-hero,430,Ford Escape / Kuga 2005,ford-escape-kuga-2005,ford-escape-kuga-2005,/cars/vehicle/ford-escape-kuga-2005/,/assets/img/cars/ford/escape-kuga/2005/,ford-escape-kuga-2005-hero.jpg,800x500,JPG,"Create a clean catalogue-style vehicle hero image for a Ford Escape / Kuga 2005. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, 16:10 crop.",Car detail hero and listing thumbnail. Body type=suv.
77,car-hero,430,Ford Escape / Kuga 2008,ford-escape-kuga-2008,ford-escape-kuga-2008,/cars/vehicle/ford-escape-kuga-2008/,/assets/img/cars/ford/escape-kuga/2008/,ford-escape-kuga-2008-hero.jpg,800x500,JPG,"Create a clean catalogue-style vehicle hero image for a Ford Escape / Kuga 2008. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, 16:10 crop.",Car detail hero and listing thumbnail. Body type=suv.
78,car-hero,430,Ford Escape / Kuga 2011,ford-escape-kuga-2011,ford-escape-kuga-2011,/cars/vehicle/ford-escape-kuga-2011/,/assets/img/cars/ford/escape-kuga/2011/,ford-escape-kuga-2011-hero.jpg,800x500,JPG,"Create a clean catalogue-style vehicle hero image for a Ford Escape / Kuga 2011. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, 16:10 crop.",Car detail hero and listing thumbnail. Body type=suv.
79,car-hero,429,Ford Escape / Kuga 2014,ford-escape-kuga-2014,ford-escape-kuga-2014,/cars/vehicle/ford-escape-kuga-2014/,/assets/img/cars/ford/escape-kuga/2014/,ford-escape-kuga-2014-hero.jpg,800x500,JPG,"Create a clean catalogue-style vehicle hero image for a Ford Escape / Kuga 2014. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, 16:10 crop.",Car detail hero and listing thumbnail. Body type=suv.
80,car-hero,429,Ford Escape / Kuga 2017,ford-escape-kuga-2017,ford-escape-kuga-2017,/cars/vehicle/ford-escape-kuga-2017/,/assets/img/cars/ford/escape-kuga/2017/,ford-escape-kuga-2017-hero.jpg,800x500,JPG,"Create a clean catalogue-style vehicle hero image for a Ford Escape / Kuga 2017. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, 16:10 crop.",Car detail hero and listing thumbnail. Body type=suv.
81,car-hero,429,Ford Escape / Kuga 2020,ford-escape-kuga-2020,ford-escape-kuga-2020,/cars/vehicle/ford-escape-kuga-2020/,/assets/img/cars/ford/escape-kuga/2020/,ford-escape-kuga-2020-hero.jpg,800x500,JPG,"Create a clean catalogue-style vehicle hero image for a Ford Escape / Kuga 2020. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, 16:10 crop.",Car detail hero and listing thumbnail. Body type=suv.
82,car-hero,426,Ford Ranger 2012,ford-ranger-2012,ford-ranger-2012,/cars/vehicle/ford-ranger-2012/,/assets/img/cars/ford/ranger/2012/,ford-ranger-2012-hero.jpg,800x500,JPG,"Create a clean catalogue-style vehicle hero image for a Ford Ranger 2012. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, 16:10 crop.",Car detail hero and listing thumbnail. Body type=pickup.
83,car-hero,425,Honda Accord 2008,honda-accord-2008,honda-accord-2008,/cars/vehicle/honda-accord-2008/,/assets/img/cars/honda/accord/2008/,honda-accord-2008-hero.jpg,800x500,JPG,"Create a clean catalogue-style vehicle hero image for a Honda Accord 2008. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, 16:10 crop.",Car detail hero and listing thumbnail. Body type=sedan.
84,car-hero,424,Honda Accord 2011,honda-accord-2011,honda-accord-2011,/cars/vehicle/honda-accord-2011/,/assets/img/cars/honda/accord/2011/,honda-accord-2011-hero.jpg,800x500,JPG,"Create a clean catalogue-style vehicle hero image for a Honda Accord 2011. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, 16:10 crop.",Car detail hero and listing thumbnail. Body type=sedan.
85,car-hero,424,Honda Accord 2016,honda-accord-2016,honda-accord-2016,/cars/vehicle/honda-accord-2016/,/assets/img/cars/honda/accord/2016/,honda-accord-2016-hero.jpg,800x500,JPG,"Create a clean catalogue-style vehicle hero image for a Honda Accord 2016. Three-quarter front view, realistic lighting, neutral urban or driveway background, no license plate text, no dealership branding, no logo emphasis, 16:10 crop.",Car detail hero and listing thumbnail. Body type=sedan.
86,kitchen-recipe,440,Tigadegena - Finished dish hero,tigadegena-ml,tigadegena-ml,/tools/afrokitchen/recipes/tigadegena-ml/,/assets/img/kitchen/,tigadegena-ml.webp,800x600,WebP,"Finished Tigadegena, a Mali stew, plated finished dish in warm natural light, inspectable texture, no text, no logos. No text, no logos, natural food texture, realistic, 4:3 crop.",AfroKitchen hero asset. Country=Mali.
87,kitchen-recipe,440,Chicken Tagine with Preserved Lemons & Olives - Finished dish hero,chicken-tagine-preserved-lemons-ma,chicken-tagine-preserved-lemons-ma,/tools/afrokitchen/recipes/chicken-tagine-preserved-lemons-ma/,/assets/img/kitchen/,chicken-tagine-preserved-lemons-ma.webp,800x600,WebP,"Finished Chicken Tagine with Preserved Lemons & Olives, a Morocco main, plated finished dish in warm natural light, inspectable texture, no text, no logos. No text, no logos, natural food texture, realistic, 4:3 crop.",AfroKitchen hero asset. Country=Morocco.
88,kitchen-recipe,440,Dambou - Finished dish hero,dambou-ne,dambou-ne,/tools/afrokitchen/recipes/dambou-ne/,/assets/img/kitchen/,dambou-ne.webp,800x600,WebP,"Finished Dambou, a Niger main, plated finished dish in warm natural light, inspectable texture, no text, no logos. No text, no logos, natural food texture, realistic, 4:3 crop.",AfroKitchen hero asset. Country=Niger.
89,kitchen-recipe,440,Jollof Rice - Finished dish hero,jollof-rice-ng,jollof-rice-ng,/tools/afrokitchen/recipes/jollof-rice-ng/,/assets/img/kitchen/,jollof-rice-ng.webp,800x600,WebP,"Finished Jollof Rice, a Nigeria main, plated finished dish in warm natural light, inspectable texture, no text, no logos. No text, no logos, natural food texture, realistic, 4:3 crop.",AfroKitchen hero asset. Country=Nigeria.
90,kitchen-recipe,440,Poulet à la Muambé - Finished dish hero,poulet-muambe-cg,poulet-muambe-cg,/tools/afrokitchen/recipes/poulet-muambe-cg/,/assets/img/kitchen/,poulet-muambe-cg.webp,800x600,WebP,"Finished Poulet à la Muambé, a Republic of Congo stew, plated finished dish in warm natural light, inspectable texture, no text, no logos. No text, no logos, natural food texture, realistic, 4:3 crop.",AfroKitchen hero asset. Country=Republic of Congo.
91,kitchen-recipe,440,Cassava Leaf Stew - Finished dish hero,cassava-leaf-stew-sl,cassava-leaf-stew-sl,/tools/afrokitchen/recipes/cassava-leaf-stew-sl/,/assets/img/kitchen/,cassava-leaf-stew-sl.webp,800x600,WebP,"Finished Cassava Leaf Stew, a Sierra Leone stew, plated finished dish in warm natural light, inspectable texture, no text, no logos. No text, no logos, natural food texture, realistic, 4:3 crop.",AfroKitchen hero asset. Country=Sierra Leone.
92,kitchen-recipe,440,Bobotie - Finished dish hero,bobotie-za,bobotie-za,/tools/afrokitchen/recipes/bobotie-za/,/assets/img/kitchen/,bobotie-za.webp,800x600,WebP,"Finished Bobotie, a South Africa main, plated finished dish in warm natural light, inspectable texture, no text, no logos. No text, no logos, natural food texture, realistic, 4:3 crop.",AfroKitchen hero asset. Country=South Africa.
93,kitchen-recipe,440,Koklo Meme - Finished dish hero,koklo-meme-tg,koklo-meme-tg,/tools/afrokitchen/recipes/koklo-meme-tg/,/assets/img/kitchen/,koklo-meme-tg.webp,800x600,WebP,"Finished Koklo Meme, a Togo main, plated finished dish in warm natural light, inspectable texture, no text, no logos. No text, no logos, natural food texture, realistic, 4:3 crop.",AfroKitchen hero asset. Country=Togo.
94,blog-feature,300,"Ghana Employer Payroll Compliance 2026 | PAYE, SSNIT and GRA Filing Guide",ghana-employer-payroll-compliance-2026,ghana-employer-payroll-compliance-2026,/blog/ghana-employer-payroll-compliance-2026/,/assets/img/blog/,ghana-employer-payroll-compliance-2026.webp,1200x630,WebP,"Create an editorial feature image for the AfroTools article ""Ghana Employer Payroll Compliance 2026 | PAYE, SSNIT and GRA Filing Guide"". African context where relevant, clean realistic composition, no readable text, no logos, no fake screenshots, 1200x630 crop.",Blog feature and OG image.
95,blog-feature,300,"Igbo Market Days Explained: Eke, Orie, Afor, Nkwo Calendar 2026",igbo-market-days,igbo-market-days,/blog/igbo-market-days/,/assets/img/blog/,igbo-market-days.webp,1200x630,WebP,"Create an editorial feature image for the AfroTools article ""Igbo Market Days Explained: Eke, Orie, Afor, Nkwo Calendar 2026 | AfroTools"". African context where relevant, clean realistic composition, no readable text, no logos, no fake screenshots, 1200x630 crop.",Blog feature and OG image.
96,blog-feature,300,"Kenya Import Duty Calculator Guide 2026 | KRA Duty, IDF, RDL and VAT",import-duty-calculator-kenya-2026,import-duty-calculator-kenya-2026,/blog/import-duty-calculator-kenya-2026/,/assets/img/blog/,import-duty-calculator-kenya-2026.webp,1200x630,WebP,"Create an editorial feature image for the AfroTools article ""Kenya Import Duty Calculator Guide 2026 | KRA Duty, IDF, RDL and VAT"". African context where relevant, clean realistic composition, no readable text, no logos, no fake screenshots, 1200x630 crop.",Blog feature and OG image.
97,blog-feature,300,Kenya Capital Gains Tax 2026 | KRA 15% CGT Guide,kenya-capital-gains-tax-2026,kenya-capital-gains-tax-2026,/blog/kenya-capital-gains-tax-2026/,/assets/img/blog/,kenya-capital-gains-tax-2026.webp,1200x630,WebP,"Create an editorial feature image for the AfroTools article ""Kenya Capital Gains Tax 2026 | KRA 15% CGT Guide"". African context where relevant, clean realistic composition, no readable text, no logos, no fake screenshots, 1200x630 crop.",Blog feature and OG image.
98,platform-og,280,AfroAtlas country intelligence,og-afroatlas,og-afroatlas,/tools/afroatlas/,/assets/img/og/,og-afroatlas.webp,1200x630,WebP,"Create a 1200x630 AfroTools Open Graph image for AfroAtlas country intelligence. Show map panels, country facts, comparison dashboard. Strong first-glance subject, clean product feel, no readable text, no logos.",Platform-level social image.
99,platform-og,280,AfroKitchen recipe atlas,og-afrokitchen,og-afrokitchen,/tools/afrokitchen/,/assets/img/og/,og-afrokitchen.webp,1200x630,WebP,"Create a 1200x630 AfroTools Open Graph image for AfroKitchen recipe atlas. Show African recipe table, plated dishes, country recipe cards. Strong first-glance subject, clean product feel, no readable text, no logos.",Platform-level social image.
100,platform-og,280,AfroStream creator discovery,og-afrostream,og-afrostream,/tools/afrostream/,/assets/img/og/,og-afrostream.webp,1200x630,WebP,"Create a 1200x630 AfroTools Open Graph image for AfroStream creator discovery. Show creator dashboard, video thumbnails as abstract shapes, African creator economy. Strong first-glance subject, clean product feel, no readable text, no logos.",Platform-level social image.
