slug,recipe,country,category,role,label,filename,route_path,prompt
funge-de-bombo-ao,Funge de Bombo,Angola,side,process,Cooking process,funge-de-bombo-ao-4.webp,/tools/afrokitchen/recipes/funge-de-bombo-ao/,"Finished Funge de Bombo, side from Angola, mid-cooking pot or pan moment that explains the method."
funge-de-bombo-ao,Funge de Bombo,Angola,side,table,Table context,funge-de-bombo-ao-5.webp,/tools/afrokitchen/recipes/funge-de-bombo-ao/,"Finished Funge de Bombo, side from Angola, dish on table with realistic accompaniments and serving utensils."
kizaka-ao,Kizaka,Angola,stew,hero,Finished dish hero,kizaka-ao.webp,/tools/afrokitchen/recipes/kizaka-ao/,"Finished Kizaka, stew from Angola, plated finished dish in warm natural light, inspectable texture, no text, no logos."
kizaka-ao,Kizaka,Angola,stew,serving,Serving detail,kizaka-ao-2.webp,/tools/afrokitchen/recipes/kizaka-ao/,"Finished Kizaka, stew from Angola, closer serving angle showing texture, garnish, side dish, and sauce."
kizaka-ao,Kizaka,Angola,stew,ingredients,Ingredient setup,kizaka-ao-3.webp,/tools/afrokitchen/recipes/kizaka-ao/,"Finished Kizaka, stew from Angola, key ingredients arranged naturally before cooking, bright kitchen light."
kizaka-ao,Kizaka,Angola,stew,process,Cooking process,kizaka-ao-4.webp,/tools/afrokitchen/recipes/kizaka-ao/,"Finished Kizaka, stew from Angola, mid-cooking pot or pan moment that explains the method."
kizaka-ao,Kizaka,Angola,stew,table,Table context,kizaka-ao-5.webp,/tools/afrokitchen/recipes/kizaka-ao/,"Finished Kizaka, stew from Angola, dish on table with realistic accompaniments and serving utensils."
muamba-de-galinha-ao,Muamba de Galinha,Angola,main,hero,Finished dish hero,muamba-de-galinha-ao.webp,/tools/afrokitchen/recipes/muamba-de-galinha-ao/,"Finished Muamba de Galinha, main from Angola, plated finished dish in warm natural light, inspectable texture, no text, no logos."
muamba-de-galinha-ao,Muamba de Galinha,Angola,main,serving,Serving detail,muamba-de-galinha-ao-2.webp,/tools/afrokitchen/recipes/muamba-de-galinha-ao/,"Finished Muamba de Galinha, main from Angola, closer serving angle showing texture, garnish, side dish, and sauce."
muamba-de-galinha-ao,Muamba de Galinha,Angola,main,ingredients,Ingredient setup,muamba-de-galinha-ao-3.webp,/tools/afrokitchen/recipes/muamba-de-galinha-ao/,"Finished Muamba de Galinha, main from Angola, key ingredients arranged naturally before cooking, bright kitchen light."
muamba-de-galinha-ao,Muamba de Galinha,Angola,main,process,Cooking process,muamba-de-galinha-ao-4.webp,/tools/afrokitchen/recipes/muamba-de-galinha-ao/,"Finished Muamba de Galinha, main from Angola, mid-cooking pot or pan moment that explains the method."
muamba-de-galinha-ao,Muamba de Galinha,Angola,main,table,Table context,muamba-de-galinha-ao-5.webp,/tools/afrokitchen/recipes/muamba-de-galinha-ao/,"Finished Muamba de Galinha, main from Angola, dish on table with realistic accompaniments and serving utensils."
mufete-ao,Mufete,Angola,seafood,hero,Finished dish hero,mufete-ao.webp,/tools/afrokitchen/recipes/mufete-ao/,"Finished Mufete, seafood from Angola, plated finished dish in warm natural light, inspectable texture, no text, no logos."
mufete-ao,Mufete,Angola,seafood,serving,Serving detail,mufete-ao-2.webp,/tools/afrokitchen/recipes/mufete-ao/,"Finished Mufete, seafood from Angola, closer serving angle showing texture, garnish, side dish, and sauce."
mufete-ao,Mufete,Angola,seafood,ingredients,Ingredient setup,mufete-ao-3.webp,/tools/afrokitchen/recipes/mufete-ao/,"Finished Mufete, seafood from Angola, key ingredients arranged naturally before cooking, bright kitchen light."
mufete-ao,Mufete,Angola,seafood,process,Cooking process,mufete-ao-4.webp,/tools/afrokitchen/recipes/mufete-ao/,"Finished Mufete, seafood from Angola, mid-cooking pot or pan moment that explains the method."
mufete-ao,Mufete,Angola,seafood,table,Table context,mufete-ao-5.webp,/tools/afrokitchen/recipes/mufete-ao/,"Finished Mufete, seafood from Angola, dish on table with realistic accompaniments and serving utensils."
atassi-watche-bj,Atassi Watche,Benin,main,hero,Finished dish hero,atassi-watche-bj.webp,/tools/afrokitchen/recipes/atassi-watche-bj/,"Finished Atassi Watche, main from Benin, plated finished dish in warm natural light, inspectable texture, no text, no logos."
atassi-watche-bj,Atassi Watche,Benin,main,serving,Serving detail,atassi-watche-bj-2.webp,/tools/afrokitchen/recipes/atassi-watche-bj/,"Finished Atassi Watche, main from Benin, closer serving angle showing texture, garnish, side dish, and sauce."
atassi-watche-bj,Atassi Watche,Benin,main,ingredients,Ingredient setup,atassi-watche-bj-3.webp,/tools/afrokitchen/recipes/atassi-watche-bj/,"Finished Atassi Watche, main from Benin, key ingredients arranged naturally before cooking, bright kitchen light."
atassi-watche-bj,Atassi Watche,Benin,main,process,Cooking process,atassi-watche-bj-4.webp,/tools/afrokitchen/recipes/atassi-watche-bj/,"Finished Atassi Watche, main from Benin, mid-cooking pot or pan moment that explains the method."
atassi-watche-bj,Atassi Watche,Benin,main,table,Table context,atassi-watche-bj-5.webp,/tools/afrokitchen/recipes/atassi-watche-bj/,"Finished Atassi Watche, main from Benin, dish on table with realistic accompaniments and serving utensils."
dakouin-bj,Dakouin,Benin,main,hero,Finished dish hero,dakouin-bj.webp,/tools/afrokitchen/recipes/dakouin-bj/,"Finished Dakouin, main from Benin, plated finished dish in warm natural light, inspectable texture, no text, no logos."
dakouin-bj,Dakouin,Benin,main,serving,Serving detail,dakouin-bj-2.webp,/tools/afrokitchen/recipes/dakouin-bj/,"Finished Dakouin, main from Benin, closer serving angle showing texture, garnish, side dish, and sauce."
dakouin-bj,Dakouin,Benin,main,ingredients,Ingredient setup,dakouin-bj-3.webp,/tools/afrokitchen/recipes/dakouin-bj/,"Finished Dakouin, main from Benin, key ingredients arranged naturally before cooking, bright kitchen light."
dakouin-bj,Dakouin,Benin,main,process,Cooking process,dakouin-bj-4.webp,/tools/afrokitchen/recipes/dakouin-bj/,"Finished Dakouin, main from Benin, mid-cooking pot or pan moment that explains the method."
dakouin-bj,Dakouin,Benin,main,table,Table context,dakouin-bj-5.webp,/tools/afrokitchen/recipes/dakouin-bj/,"Finished Dakouin, main from Benin, dish on table with realistic accompaniments and serving utensils."
wagasi-grille-bj,Grilled Wagasi,Benin,snack,hero,Finished dish hero,wagasi-grille-bj.webp,/tools/afrokitchen/recipes/wagasi-grille-bj/,"Finished Grilled Wagasi, snack from Benin, plated finished dish in warm natural light, inspectable texture, no text, no logos."
wagasi-grille-bj,Grilled Wagasi,Benin,snack,serving,Serving detail,wagasi-grille-bj-2.webp,/tools/afrokitchen/recipes/wagasi-grille-bj/,"Finished Grilled Wagasi, snack from Benin, closer serving angle showing texture, garnish, side dish, and sauce."
wagasi-grille-bj,Grilled Wagasi,Benin,snack,ingredients,Ingredient setup,wagasi-grille-bj-3.webp,/tools/afrokitchen/recipes/wagasi-grille-bj/,"Finished Grilled Wagasi, snack from Benin, key ingredients arranged naturally before cooking, bright kitchen light."
wagasi-grille-bj,Grilled Wagasi,Benin,snack,process,Cooking process,wagasi-grille-bj-4.webp,/tools/afrokitchen/recipes/wagasi-grille-bj/,"Finished Grilled Wagasi, snack from Benin, mid-cooking pot or pan moment that explains the method."
wagasi-grille-bj,Grilled Wagasi,Benin,snack,table,Table context,wagasi-grille-bj-5.webp,/tools/afrokitchen/recipes/wagasi-grille-bj/,"Finished Grilled Wagasi, snack from Benin, dish on table with realistic accompaniments and serving utensils."
poisson-moyo-bj,Poisson au Moyo,Benin,seafood,hero,Finished dish hero,poisson-moyo-bj.webp,/tools/afrokitchen/recipes/poisson-moyo-bj/,"Finished Poisson au Moyo, seafood from Benin, plated finished dish in warm natural light, inspectable texture, no text, no logos."
poisson-moyo-bj,Poisson au Moyo,Benin,seafood,serving,Serving detail,poisson-moyo-bj-2.webp,/tools/afrokitchen/recipes/poisson-moyo-bj/,"Finished Poisson au Moyo, seafood from Benin, closer serving angle showing texture, garnish, side dish, and sauce."
poisson-moyo-bj,Poisson au Moyo,Benin,seafood,ingredients,Ingredient setup,poisson-moyo-bj-3.webp,/tools/afrokitchen/recipes/poisson-moyo-bj/,"Finished Poisson au Moyo, seafood from Benin, key ingredients arranged naturally before cooking, bright kitchen light."
poisson-moyo-bj,Poisson au Moyo,Benin,seafood,process,Cooking process,poisson-moyo-bj-4.webp,/tools/afrokitchen/recipes/poisson-moyo-bj/,"Finished Poisson au Moyo, seafood from Benin, mid-cooking pot or pan moment that explains the method."
poisson-moyo-bj,Poisson au Moyo,Benin,seafood,table,Table context,poisson-moyo-bj-5.webp,/tools/afrokitchen/recipes/poisson-moyo-bj/,"Finished Poisson au Moyo, seafood from Benin, dish on table with realistic accompaniments and serving utensils."
bogobe-jwa-lerotse-bw,Bogobe Jwa Lerotse,Botswana,breakfast,hero,Finished dish hero,bogobe-jwa-lerotse-bw.webp,/tools/afrokitchen/recipes/bogobe-jwa-lerotse-bw/,"Finished Bogobe Jwa Lerotse, breakfast from Botswana, plated finished dish in warm natural light, inspectable texture, no text, no logos."
bogobe-jwa-lerotse-bw,Bogobe Jwa Lerotse,Botswana,breakfast,serving,Serving detail,bogobe-jwa-lerotse-bw-2.webp,/tools/afrokitchen/recipes/bogobe-jwa-lerotse-bw/,"Finished Bogobe Jwa Lerotse, breakfast from Botswana, closer serving angle showing texture, garnish, side dish, and sauce."
bogobe-jwa-lerotse-bw,Bogobe Jwa Lerotse,Botswana,breakfast,ingredients,Ingredient setup,bogobe-jwa-lerotse-bw-3.webp,/tools/afrokitchen/recipes/bogobe-jwa-lerotse-bw/,"Finished Bogobe Jwa Lerotse, breakfast from Botswana, key ingredients arranged naturally before cooking, bright kitchen light."
bogobe-jwa-lerotse-bw,Bogobe Jwa Lerotse,Botswana,breakfast,process,Cooking process,bogobe-jwa-lerotse-bw-4.webp,/tools/afrokitchen/recipes/bogobe-jwa-lerotse-bw/,"Finished Bogobe Jwa Lerotse, breakfast from Botswana, mid-cooking pot or pan moment that explains the method."
bogobe-jwa-lerotse-bw,Bogobe Jwa Lerotse,Botswana,breakfast,table,Table context,bogobe-jwa-lerotse-bw-5.webp,/tools/afrokitchen/recipes/bogobe-jwa-lerotse-bw/,"Finished Bogobe Jwa Lerotse, breakfast from Botswana, dish on table with realistic accompaniments and serving utensils."
dikgobe-bw,Dikgobe,Botswana,main,hero,Finished dish hero,dikgobe-bw.webp,/tools/afrokitchen/recipes/dikgobe-bw/,"Finished Dikgobe, main from Botswana, plated finished dish in warm natural light, inspectable texture, no text, no logos."
dikgobe-bw,Dikgobe,Botswana,main,serving,Serving detail,dikgobe-bw-2.webp,/tools/afrokitchen/recipes/dikgobe-bw/,"Finished Dikgobe, main from Botswana, closer serving angle showing texture, garnish, side dish, and sauce."
dikgobe-bw,Dikgobe,Botswana,main,ingredients,Ingredient setup,dikgobe-bw-3.webp,/tools/afrokitchen/recipes/dikgobe-bw/,"Finished Dikgobe, main from Botswana, key ingredients arranged naturally before cooking, bright kitchen light."
dikgobe-bw,Dikgobe,Botswana,main,process,Cooking process,dikgobe-bw-4.webp,/tools/afrokitchen/recipes/dikgobe-bw/,"Finished Dikgobe, main from Botswana, mid-cooking pot or pan moment that explains the method."
dikgobe-bw,Dikgobe,Botswana,main,table,Table context,dikgobe-bw-5.webp,/tools/afrokitchen/recipes/dikgobe-bw/,"Finished Dikgobe, main from Botswana, dish on table with realistic accompaniments and serving utensils."
morogo-bw,Morogo,Botswana,side,hero,Finished dish hero,morogo-bw.webp,/tools/afrokitchen/recipes/morogo-bw/,"Finished Morogo, side from Botswana, plated finished dish in warm natural light, inspectable texture, no text, no logos."
morogo-bw,Morogo,Botswana,side,serving,Serving detail,morogo-bw-2.webp,/tools/afrokitchen/recipes/morogo-bw/,"Finished Morogo, side from Botswana, closer serving angle showing texture, garnish, side dish, and sauce."
morogo-bw,Morogo,Botswana,side,ingredients,Ingredient setup,morogo-bw-3.webp,/tools/afrokitchen/recipes/morogo-bw/,"Finished Morogo, side from Botswana, key ingredients arranged naturally before cooking, bright kitchen light."
morogo-bw,Morogo,Botswana,side,process,Cooking process,morogo-bw-4.webp,/tools/afrokitchen/recipes/morogo-bw/,"Finished Morogo, side from Botswana, mid-cooking pot or pan moment that explains the method."
morogo-bw,Morogo,Botswana,side,table,Table context,morogo-bw-5.webp,/tools/afrokitchen/recipes/morogo-bw/,"Finished Morogo, side from Botswana, dish on table with realistic accompaniments and serving utensils."
phane-bw,Phane,Botswana,main,hero,Finished dish hero,phane-bw.webp,/tools/afrokitchen/recipes/phane-bw/,"Finished Phane, main from Botswana, plated finished dish in warm natural light, inspectable texture, no text, no logos."
phane-bw,Phane,Botswana,main,serving,Serving detail,phane-bw-2.webp,/tools/afrokitchen/recipes/phane-bw/,"Finished Phane, main from Botswana, closer serving angle showing texture, garnish, side dish, and sauce."
phane-bw,Phane,Botswana,main,ingredients,Ingredient setup,phane-bw-3.webp,/tools/afrokitchen/recipes/phane-bw/,"Finished Phane, main from Botswana, key ingredients arranged naturally before cooking, bright kitchen light."
phane-bw,Phane,Botswana,main,process,Cooking process,phane-bw-4.webp,/tools/afrokitchen/recipes/phane-bw/,"Finished Phane, main from Botswana, mid-cooking pot or pan moment that explains the method."
phane-bw,Phane,Botswana,main,table,Table context,phane-bw-5.webp,/tools/afrokitchen/recipes/phane-bw/,"Finished Phane, main from Botswana, dish on table with realistic accompaniments and serving utensils."
vetkoek-bw,Vetkoek with Mince,Botswana,snack,hero,Finished dish hero,vetkoek-bw.webp,/tools/afrokitchen/recipes/vetkoek-bw/,"Finished Vetkoek with Mince, snack from Botswana, plated finished dish in warm natural light, inspectable texture, no text, no logos."
vetkoek-bw,Vetkoek with Mince,Botswana,snack,serving,Serving detail,vetkoek-bw-2.webp,/tools/afrokitchen/recipes/vetkoek-bw/,"Finished Vetkoek with Mince, snack from Botswana, closer serving angle showing texture, garnish, side dish, and sauce."
vetkoek-bw,Vetkoek with Mince,Botswana,snack,ingredients,Ingredient setup,vetkoek-bw-3.webp,/tools/afrokitchen/recipes/vetkoek-bw/,"Finished Vetkoek with Mince, snack from Botswana, key ingredients arranged naturally before cooking, bright kitchen light."
vetkoek-bw,Vetkoek with Mince,Botswana,snack,process,Cooking process,vetkoek-bw-4.webp,/tools/afrokitchen/recipes/vetkoek-bw/,"Finished Vetkoek with Mince, snack from Botswana, mid-cooking pot or pan moment that explains the method."
vetkoek-bw,Vetkoek with Mince,Botswana,snack,table,Table context,vetkoek-bw-5.webp,/tools/afrokitchen/recipes/vetkoek-bw/,"Finished Vetkoek with Mince, snack from Botswana, dish on table with realistic accompaniments and serving utensils."
babenda-bf,Babenda,Burkina Faso,main,hero,Finished dish hero,babenda-bf.webp,/tools/afrokitchen/recipes/babenda-bf/,"Finished Babenda, main from Burkina Faso, plated finished dish in warm natural light, inspectable texture, no text, no logos."
babenda-bf,Babenda,Burkina Faso,main,serving,Serving detail,babenda-bf-2.webp,/tools/afrokitchen/recipes/babenda-bf/,"Finished Babenda, main from Burkina Faso, closer serving angle showing texture, garnish, side dish, and sauce."
babenda-bf,Babenda,Burkina Faso,main,ingredients,Ingredient setup,babenda-bf-3.webp,/tools/afrokitchen/recipes/babenda-bf/,"Finished Babenda, main from Burkina Faso, key ingredients arranged naturally before cooking, bright kitchen light."
babenda-bf,Babenda,Burkina Faso,main,process,Cooking process,babenda-bf-4.webp,/tools/afrokitchen/recipes/babenda-bf/,"Finished Babenda, main from Burkina Faso, mid-cooking pot or pan moment that explains the method."
babenda-bf,Babenda,Burkina Faso,main,table,Table context,babenda-bf-5.webp,/tools/afrokitchen/recipes/babenda-bf/,"Finished Babenda, main from Burkina Faso, dish on table with realistic accompaniments and serving utensils."
benga-bf,Benga,Burkina Faso,main,hero,Finished dish hero,benga-bf.webp,/tools/afrokitchen/recipes/benga-bf/,"Finished Benga, main from Burkina Faso, plated finished dish in warm natural light, inspectable texture, no text, no logos."
benga-bf,Benga,Burkina Faso,main,serving,Serving detail,benga-bf-2.webp,/tools/afrokitchen/recipes/benga-bf/,"Finished Benga, main from Burkina Faso, closer serving angle showing texture, garnish, side dish, and sauce."
benga-bf,Benga,Burkina Faso,main,ingredients,Ingredient setup,benga-bf-3.webp,/tools/afrokitchen/recipes/benga-bf/,"Finished Benga, main from Burkina Faso, key ingredients arranged naturally before cooking, bright kitchen light."
benga-bf,Benga,Burkina Faso,main,process,Cooking process,benga-bf-4.webp,/tools/afrokitchen/recipes/benga-bf/,"Finished Benga, main from Burkina Faso, mid-cooking pot or pan moment that explains the method."
benga-bf,Benga,Burkina Faso,main,table,Table context,benga-bf-5.webp,/tools/afrokitchen/recipes/benga-bf/,"Finished Benga, main from Burkina Faso, dish on table with realistic accompaniments and serving utensils."
gonre-bf,Gonre,Burkina Faso,side,hero,Finished dish hero,gonre-bf.webp,/tools/afrokitchen/recipes/gonre-bf/,"Finished Gonre, side from Burkina Faso, plated finished dish in warm natural light, inspectable texture, no text, no logos."
gonre-bf,Gonre,Burkina Faso,side,serving,Serving detail,gonre-bf-2.webp,/tools/afrokitchen/recipes/gonre-bf/,"Finished Gonre, side from Burkina Faso, closer serving angle showing texture, garnish, side dish, and sauce."
gonre-bf,Gonre,Burkina Faso,side,ingredients,Ingredient setup,gonre-bf-3.webp,/tools/afrokitchen/recipes/gonre-bf/,"Finished Gonre, side from Burkina Faso, key ingredients arranged naturally before cooking, bright kitchen light."
gonre-bf,Gonre,Burkina Faso,side,process,Cooking process,gonre-bf-4.webp,/tools/afrokitchen/recipes/gonre-bf/,"Finished Gonre, side from Burkina Faso, mid-cooking pot or pan moment that explains the method."
gonre-bf,Gonre,Burkina Faso,side,table,Table context,gonre-bf-5.webp,/tools/afrokitchen/recipes/gonre-bf/,"Finished Gonre, side from Burkina Faso, dish on table with realistic accompaniments and serving utensils."
poulet-bicyclette-bf,Poulet Bicyclette,Burkina Faso,main,hero,Finished dish hero,poulet-bicyclette-bf.webp,/tools/afrokitchen/recipes/poulet-bicyclette-bf/,"Finished Poulet Bicyclette, main from Burkina Faso, plated finished dish in warm natural light, inspectable texture, no text, no logos."
poulet-bicyclette-bf,Poulet Bicyclette,Burkina Faso,main,serving,Serving detail,poulet-bicyclette-bf-2.webp,/tools/afrokitchen/recipes/poulet-bicyclette-bf/,"Finished Poulet Bicyclette, main from Burkina Faso, closer serving angle showing texture, garnish, side dish, and sauce."
poulet-bicyclette-bf,Poulet Bicyclette,Burkina Faso,main,ingredients,Ingredient setup,poulet-bicyclette-bf-3.webp,/tools/afrokitchen/recipes/poulet-bicyclette-bf/,"Finished Poulet Bicyclette, main from Burkina Faso, key ingredients arranged naturally before cooking, bright kitchen light."
poulet-bicyclette-bf,Poulet Bicyclette,Burkina Faso,main,process,Cooking process,poulet-bicyclette-bf-4.webp,/tools/afrokitchen/recipes/poulet-bicyclette-bf/,"Finished Poulet Bicyclette, main from Burkina Faso, mid-cooking pot or pan moment that explains the method."
poulet-bicyclette-bf,Poulet Bicyclette,Burkina Faso,main,table,Table context,poulet-bicyclette-bf-5.webp,/tools/afrokitchen/recipes/poulet-bicyclette-bf/,"Finished Poulet Bicyclette, main from Burkina Faso, dish on table with realistic accompaniments and serving utensils."
zamne-bf,Zamne,Burkina Faso,main,hero,Finished dish hero,zamne-bf.webp,/tools/afrokitchen/recipes/zamne-bf/,"Finished Zamne, main from Burkina Faso, plated finished dish in warm natural light, inspectable texture, no text, no logos."
zamne-bf,Zamne,Burkina Faso,main,serving,Serving detail,zamne-bf-2.webp,/tools/afrokitchen/recipes/zamne-bf/,"Finished Zamne, main from Burkina Faso, closer serving angle showing texture, garnish, side dish, and sauce."
zamne-bf,Zamne,Burkina Faso,main,ingredients,Ingredient setup,zamne-bf-3.webp,/tools/afrokitchen/recipes/zamne-bf/,"Finished Zamne, main from Burkina Faso, key ingredients arranged naturally before cooking, bright kitchen light."
zamne-bf,Zamne,Burkina Faso,main,process,Cooking process,zamne-bf-4.webp,/tools/afrokitchen/recipes/zamne-bf/,"Finished Zamne, main from Burkina Faso, mid-cooking pot or pan moment that explains the method."
zamne-bf,Zamne,Burkina Faso,main,table,Table context,zamne-bf-5.webp,/tools/afrokitchen/recipes/zamne-bf/,"Finished Zamne, main from Burkina Faso, dish on table with realistic accompaniments and serving utensils."
agatoke-bi,Agatoke,Burundi,main,hero,Finished dish hero,agatoke-bi.webp,/tools/afrokitchen/recipes/agatoke-bi/,"Finished Agatoke, main from Burundi, plated finished dish in warm natural light, inspectable texture, no text, no logos."
agatoke-bi,Agatoke,Burundi,main,serving,Serving detail,agatoke-bi-2.webp,/tools/afrokitchen/recipes/agatoke-bi/,"Finished Agatoke, main from Burundi, closer serving angle showing texture, garnish, side dish, and sauce."
agatoke-bi,Agatoke,Burundi,main,ingredients,Ingredient setup,agatoke-bi-3.webp,/tools/afrokitchen/recipes/agatoke-bi/,"Finished Agatoke, main from Burundi, key ingredients arranged naturally before cooking, bright kitchen light."
agatoke-bi,Agatoke,Burundi,main,process,Cooking process,agatoke-bi-4.webp,/tools/afrokitchen/recipes/agatoke-bi/,"Finished Agatoke, main from Burundi, mid-cooking pot or pan moment that explains the method."
agatoke-bi,Agatoke,Burundi,main,table,Table context,agatoke-bi-5.webp,/tools/afrokitchen/recipes/agatoke-bi/,"Finished Agatoke, main from Burundi, dish on table with realistic accompaniments and serving utensils."
burundian-brochettes-bi,Burundian Brochettes,Burundi,grill,hero,Finished dish hero,burundian-brochettes-bi.webp,/tools/afrokitchen/recipes/burundian-brochettes-bi/,"Finished Burundian Brochettes, grill from Burundi, plated finished dish in warm natural light, inspectable texture, no text, no logos."
burundian-brochettes-bi,Burundian Brochettes,Burundi,grill,serving,Serving detail,burundian-brochettes-bi-2.webp,/tools/afrokitchen/recipes/burundian-brochettes-bi/,"Finished Burundian Brochettes, grill from Burundi, closer serving angle showing texture, garnish, side dish, and sauce."
burundian-brochettes-bi,Burundian Brochettes,Burundi,grill,ingredients,Ingredient setup,burundian-brochettes-bi-3.webp,/tools/afrokitchen/recipes/burundian-brochettes-bi/,"Finished Burundian Brochettes, grill from Burundi, key ingredients arranged naturally before cooking, bright kitchen light."
burundian-brochettes-bi,Burundian Brochettes,Burundi,grill,process,Cooking process,burundian-brochettes-bi-4.webp,/tools/afrokitchen/recipes/burundian-brochettes-bi/,"Finished Burundian Brochettes, grill from Burundi, mid-cooking pot or pan moment that explains the method."
burundian-brochettes-bi,Burundian Brochettes,Burundi,grill,table,Table context,burundian-brochettes-bi-5.webp,/tools/afrokitchen/recipes/burundian-brochettes-bi/,"Finished Burundian Brochettes, grill from Burundi, dish on table with realistic accompaniments and serving utensils."
burundian-isombe,Burundian Isombe,Burundi,stew,hero,Finished dish hero,burundian-isombe.webp,/tools/afrokitchen/recipes/burundian-isombe/,"Finished Burundian Isombe, stew from Burundi, plated finished dish in warm natural light, inspectable texture, no text, no logos."
burundian-isombe,Burundian Isombe,Burundi,stew,serving,Serving detail,burundian-isombe-2.webp,/tools/afrokitchen/recipes/burundian-isombe/,"Finished Burundian Isombe, stew from Burundi, closer serving angle showing texture, garnish, side dish, and sauce."
burundian-isombe,Burundian Isombe,Burundi,stew,ingredients,Ingredient setup,burundian-isombe-3.webp,/tools/afrokitchen/recipes/burundian-isombe/,"Finished Burundian Isombe, stew from Burundi, key ingredients arranged naturally before cooking, bright kitchen light."
burundian-isombe,Burundian Isombe,Burundi,stew,process,Cooking process,burundian-isombe-4.webp,/tools/afrokitchen/recipes/burundian-isombe/,"Finished Burundian Isombe, stew from Burundi, mid-cooking pot or pan moment that explains the method."
burundian-isombe,Burundian Isombe,Burundi,stew,table,Table context,burundian-isombe-5.webp,/tools/afrokitchen/recipes/burundian-isombe/,"Finished Burundian Isombe, stew from Burundi, dish on table with realistic accompaniments and serving utensils."
ibiharage-bi,Ibiharage,Burundi,stew,hero,Finished dish hero,ibiharage-bi.webp,/tools/afrokitchen/recipes/ibiharage-bi/,"Finished Ibiharage, stew from Burundi, plated finished dish in warm natural light, inspectable texture, no text, no logos."
ibiharage-bi,Ibiharage,Burundi,stew,serving,Serving detail,ibiharage-bi-2.webp,/tools/afrokitchen/recipes/ibiharage-bi/,"Finished Ibiharage, stew from Burundi, closer serving angle showing texture, garnish, side dish, and sauce."
ibiharage-bi,Ibiharage,Burundi,stew,ingredients,Ingredient setup,ibiharage-bi-3.webp,/tools/afrokitchen/recipes/ibiharage-bi/,"Finished Ibiharage, stew from Burundi, key ingredients arranged naturally before cooking, bright kitchen light."
ibiharage-bi,Ibiharage,Burundi,stew,process,Cooking process,ibiharage-bi-4.webp,/tools/afrokitchen/recipes/ibiharage-bi/,"Finished Ibiharage, stew from Burundi, mid-cooking pot or pan moment that explains the method."
ibiharage-bi,Ibiharage,Burundi,stew,table,Table context,ibiharage-bi-5.webp,/tools/afrokitchen/recipes/ibiharage-bi/,"Finished Ibiharage, stew from Burundi, dish on table with realistic accompaniments and serving utensils."
ikivuguto-bi,Ikivuguto,Burundi,beverage,hero,Finished dish hero,ikivuguto-bi.webp,/tools/afrokitchen/recipes/ikivuguto-bi/,"Finished Ikivuguto, beverage from Burundi, plated finished dish in warm natural light, inspectable texture, no text, no logos."
ikivuguto-bi,Ikivuguto,Burundi,beverage,serving,Serving detail,ikivuguto-bi-2.webp,/tools/afrokitchen/recipes/ikivuguto-bi/,"Finished Ikivuguto, beverage from Burundi, closer serving angle showing texture, garnish, side dish, and sauce."
ikivuguto-bi,Ikivuguto,Burundi,beverage,ingredients,Ingredient setup,ikivuguto-bi-3.webp,/tools/afrokitchen/recipes/ikivuguto-bi/,"Finished Ikivuguto, beverage from Burundi, key ingredients arranged naturally before cooking, bright kitchen light."
ikivuguto-bi,Ikivuguto,Burundi,beverage,process,Cooking process,ikivuguto-bi-4.webp,/tools/afrokitchen/recipes/ikivuguto-bi/,"Finished Ikivuguto, beverage from Burundi, mid-cooking pot or pan moment that explains the method."
ikivuguto-bi,Ikivuguto,Burundi,beverage,table,Table context,ikivuguto-bi-5.webp,/tools/afrokitchen/recipes/ikivuguto-bi/,"Finished Ikivuguto, beverage from Burundi, dish on table with realistic accompaniments and serving utensils."
isombe-peanut-bi,Isombe with Peanut,Burundi,stew,hero,Finished dish hero,isombe-peanut-bi.webp,/tools/afrokitchen/recipes/isombe-peanut-bi/,"Finished Isombe with Peanut, stew from Burundi, plated finished dish in warm natural light, inspectable texture, no text, no logos."
isombe-peanut-bi,Isombe with Peanut,Burundi,stew,serving,Serving detail,isombe-peanut-bi-2.webp,/tools/afrokitchen/recipes/isombe-peanut-bi/,"Finished Isombe with Peanut, stew from Burundi, closer serving angle showing texture, garnish, side dish, and sauce."
isombe-peanut-bi,Isombe with Peanut,Burundi,stew,ingredients,Ingredient setup,isombe-peanut-bi-3.webp,/tools/afrokitchen/recipes/isombe-peanut-bi/,"Finished Isombe with Peanut, stew from Burundi, key ingredients arranged naturally before cooking, bright kitchen light."
isombe-peanut-bi,Isombe with Peanut,Burundi,stew,process,Cooking process,isombe-peanut-bi-4.webp,/tools/afrokitchen/recipes/isombe-peanut-bi/,"Finished Isombe with Peanut, stew from Burundi, mid-cooking pot or pan moment that explains the method."
isombe-peanut-bi,Isombe with Peanut,Burundi,stew,table,Table context,isombe-peanut-bi-5.webp,/tools/afrokitchen/recipes/isombe-peanut-bi/,"Finished Isombe with Peanut, stew from Burundi, dish on table with realistic accompaniments and serving utensils."
mukeke,Mukeke,Burundi,main,hero,Finished dish hero,mukeke.webp,/tools/afrokitchen/recipes/mukeke/,"Finished Mukeke, main from Burundi, plated finished dish in warm natural light, inspectable texture, no text, no logos."
mukeke,Mukeke,Burundi,main,serving,Serving detail,mukeke-2.webp,/tools/afrokitchen/recipes/mukeke/,"Finished Mukeke, main from Burundi, closer serving angle showing texture, garnish, side dish, and sauce."
